S.No,AppTag,LOB,AuthReq,ImmediateTxf,ClarfierQuestion,NextAction,Onboarding Eligible
60,address-change,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE,Y
61,address-change,21V,Y,N,NA,TRANSFER,Y
62,address-change,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
63,address-change,21SV,Y,N,NA,TRANSFER,Y
64,address-change,21SM,Y,N,NA,TRANSFER,Y
65,address-change,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
66,agent-change,SHARED_MM_BW,Y,N,NA,TRANSFER,Y
67,agent-change,BW_PROD_BW,N,N,NA,BW_POLICY_COLLECTION,Y
68,agent-change,FOREMOST_AGENT_FOREMOST,N,N,NA,FMST_AGENT_POLICY_SERVICE,Y
69,agent-change,FARM_PL_FAS,N,N,NA,FAS_PL_MAINMENU,Y
70,agent-change,SHARED_MM_FARMERSERVICE,Y,N,NA,TRANSFER,Y
71,agent-change,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE,Y
72,agent-change,FARMER_VANITY_VANITY,Y,N,NA,TRANSFER,Y
73,agent-change,SHARED_MM_HOMEOWNER,Y,N,NA,AGENT_INFO,Y
74,agent-change,21V,Y,N,NA,TRANSFER,Y
75,agent-change,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
76,agent-change,21SV,Y,N,NA,TRANSFER,Y
77,agent-change,21SM,Y,N,NA,TRANSFER,Y
78,agent-change,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
79,agent-find,SHARED_MM_BW,Y,N,NA,AGENT_INFO,Y
80,agent-find,BW_PROD_BW,N,N,NA,BW_POLICY_COLLECTION,Y
81,agent-find,FOREMOST_AGENT_FOREMOST,N,N,NA,FOREMOST_STAR,Y
82,agent-find,FARM_PL_FAS,N,N,NA,FAS_PL_MAINMENU,Y
83,agent-find,SHARED_MM_FARMERSERVICE,Y,N,NA,AGENT_INFO,Y
