intentName,intentGroup,destinationTypeEnterprise,destinationEnterprise,destinationTypeBusiness,destinationBusiness,destinationTypeGovernment,destinationGovernment,closed_door_SS,wirelessSS,identifyEnterprise,identifyBusiness,identifyGovernment,specialIntent,authLevelEnterprise,authLevelBusiness,authLevelGovernment,repromptMenu_EN,repromptMenu_FR
mobile-hotspot,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
troubleshoot-wifi,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
internet-WHI,tech-support-internet,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
5GHI-Support,tech-support-internet,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-internet-WHI,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-5GHI-Support,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
no-match,no-match,Module,BOMM,Module,BOMM,Module,BOMM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
accounts-receivables,service,Module,AccountReceivables,Module,AccountReceivables,Module,AccountReceivables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-internet-existing,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-phone-hardware-support,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-advantage-voice-support,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-phone-support,tech-support,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-wifi-calling-support,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-reset-router ,tech-support-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
postTS-wifi-support-general,tech-support-wireless,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
