priorityId,flagIndRuleId,customerType,language,applicationId,delinquencyRuleId,feature,intent,intentGroup,exitAction,transferVQ,transferDID,terminationMessage
10101001,bizpriority,*,fr-CA,*,DELINQUENT0001,*,*,sales,transfer,BusServ-ROG-SMB-PPri-Wir-IB-FR,11054112062,
10101100,bizpriority,*,en-US,*,DELINQUENT0002,isWirelessOnly,*,*,transfer,CredOps-ROG-CNS-Clct-DelqB-Wir-IB-EN,11051511008,
10101100,bizpriority,*,fr-CA,*,DELINQUENT0002,isWirelessOnly,*,*,transfer,CredOps-ROG-CNS-Clct-DelqB-Wir-IB-FR,11051512008,
10101000,bizpriority,*,en-US,*,DELINQUENT0002,*,*,*,transfer,CredOps-ROG-CNS-Clct-DelqB-MS-IB-EN,11051511006,
10101000,bizpriorit,*,fr-CA,*,DELINQUENT0002,*,*,*,transfer,CredOps-ROG-CNS-Clct-DelqB-MS-IB-FR,11051512006,
00110001,*,*,en-US,Bus_TechSupp_Provisioning_WST_Ent,*,*,*,Bus-TechSupp-Provisioning-WST-Ent-voice,transfer,BusTech-ROG-WST-Prov-ENT-Voice-IB-EN,11054211027,
00110001,*,*,en-US,Bus_TechSupp_Provisioning_WST_Ent,*,*,*,Bus-TechSupp-Provisioning-WST-Ent-data,transfer,BusTech-ROG-WST-Prov-ENT-Data-IB-EN,11054211026,
00110001,*,*,en-US,Bus_TechSupp_MngdSvcs_Ent_T1,*,*,*,Bus-TechSupp-MngdSvcs-Ent-T1,transfer,BusServ-ROG-COMM-Wirln-IB-EN,11051890045,
00110001,*,*,en-US,Bus_TechSupp_CLEC_Wir,*,*,*,Bus-TechSupp-CLEC-Wir-port-error,transfer,TechSupp-ROG-WPFS-BUS-IB-EN,11051221012,
00110001,*,*,fr-CA,Bus_TechSupp_CLEC_Wir,*,*,*,Bus-TechSupp-CLEC-Wir-port-error,transfer,TechSupp-ROG-WPFS-BUS-IB-FR,11051222012,
00110001,*,*,en-US,Bus_Service_SMB_DA,*,*,*,Bus-Service-SMB-DA,transfer,BusServ-ROG-SMB-DA-Dummy-EN,11154710003,
00110001,*,*,fr-CA,Bus_Service_SMB_DA,*,*,*,Bus-Service-SMB-DA,transfer,BusServ-ROG-SMB-DA-Dummy-FR,11154710003,
00110001,*,*,en-US,Bus_Sales_DA,*,*,*,Bus-Sales-DA,transfer,BusSls-ROG-SMB-DA-Dummy-EN,11154710002,
00110001,*,*,fr-CA,Bus_Sales_DA,*,*,*,Bus-Sales-DA,transfer,BusSls-ROG-SMB-DA-Dummy-FR,11154710002,
00110001,*,*,en-US,Bus_NOC_SMB_WST,*,*,*,Bus-NOC-SMB-WST-NOC-voice,transfer,BusTech-ROG-WST-ENT-T1-Voice-IB-EN,11051890169,
00110001,*,*,en-US,Bus_NOC_SMB_WST,*,*,*,Bus-NOC-SMB-WST-NOC-video,transfer,BusTech-ROG-WST-ENT-T1-Video-IB-EN,11051890170,
00110001,*,*,en-US,Bus_NOC_SMB_WST,*,*,*,Bus-NOC-SMB-WST-NOC-data,transfer,BusTech-ROG-WST-T1-Cbl-IB-EN,11051890158,
00110001,*,*,en-US,Bus_NOC_SMB_WST,*,*,*,Bus-NOC-SMB-WST-advantage,transfer,BusTech-ROG-WST-T1-AdvProd-Partner-IB-EN,11054211029,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,tech-support-wireline,transfer,BusTech-ROG-WST-T1-Cbl-IB-EN,11051890158,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,tech-support-wireline,transfer,BusSls-ROG-WST-Cbl-IB-FR,11054112038,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,tech-support-wireless,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,tech-support-wireless,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,tech-support-satellite,transfer,BusTech-ROG-WST-T1-Sat-IB-EN,11051890161,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,tech-support-satellite,transfer,BusTech-ROG-WST-T1-Sat-IB-FR,11051890160,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,tech-support-advantage-wifi,transfer,BusTech-ROG-WST-T1-AdvProd-IB-EN,11051890157,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,tech-support-advantage-wifi,transfer,BusTech-ROG-WST-T1-Sat-IB-FR,11051890160,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,tech-support,transfer,BusTech-ROG-WST-T1-Cbl-IB-EN,11051890158,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,tech-support,transfer,BusSls-ROG-WST-Cbl-IB-FR,11054112038,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,service-satellite,transfer,BusServ-ROG-WST-ENT-Sat-IB-EN,11051890172,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,service-satellite,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,service-enterprise,transfer,BusServ-ROG-WST-ENT-Cbl-IB-EN,11051890171,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,service-enterprise,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,service,transfer,BusServ-ROG-WST-SMB-Cbl-IB-EN,11054111041,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,service,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,sales-wireline,transfer,BusSls-ROG-WST-Cbl-IB-EN,11051890153,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,sales-wireline,transfer,BusSls-ROG-WST-Cbl-IB-FR,11054112038,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,sales-wireless,transfer,BusSls-ROG-SMB-Wir-IB-EN,11051899060,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,sales-wireless,transfer,BusSls-ROG-SMB-Wir-IB-FR,11051899105,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,sales,transfer,BusSls-ROG-WST-Cbl-IB-EN,11051890153,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,sales,transfer,BusSls-ROG-WST-Cbl-IB-FR,11054112038,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,collection-payments-satellite,transfer,BusServ-ROG-WST-ENT-Sat-IB-EN,11051890172,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,collection-payments-satellite,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,collection-payments-enterprise,transfer,BusServ-ROG-WST-ENT-Cbl-IB-EN,11051890171,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,collection-payments-enterprise,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,collection-payments,transfer,BusServ-ROG-WST-SMB-Cbl-IB-EN,11054111041,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,collection-payments,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,churn-risk-satellite,transfer,BusServ-ROG-WST-ENT-Sat-IB-EN,11051890172,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,churn-risk-satellite,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,churn-risk-enterprise,transfer,BusServ-ROG-WST-ENT-Cbl-IB-EN,11051890171,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,churn-risk-enterprise,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110001,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,*,churn-risk,transfer,BusServ-ROG-WST-SMB-Cbl-IB-EN,11054111041,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,*,churn-risk,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110010,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,sales-satellite,*,transfer,BusSls-ROG-WST-SMB-Sat-IB-EN,11051890152,
01110010,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,sales-satellite,*,transfer,BusSls-ROG-WST-Cbl-IB-FR,11054112038,
01110010,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,phone-help-vague,*,transfer,BusTech-ROG-WST-T1-RBP-IB-EN,11051890162,
01110010,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,phone-help-vague,*,transfer,BusTech-ROG-WST-T1-Sat-IB-FR,11051890160,
01110010,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,phone-hardware-support,*,transfer,BusTech-ROG-WST-T1-RBP-IB-EN,11051890162,
01110010,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,phone-hardware-support,*,transfer,BusTech-ROG-WST-T1-Sat-IB-FR,11051890160,
01110010,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,business-phone-support,*,transfer,BusTech-ROG-WST-T1-RBP-IB-EN,11051890162,
01110010,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,business-phone-support,*,transfer,BusTech-ROG-WST-T1-Sat-IB-FR,11051890160,
01110010,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,agent-request-enterprise,*,transfer,BusServ-ROG-WST-ENT-Cbl-IB-EN,11051890171,
01110010,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,agent-request-enterprise,*,transfer,BusServ-ROG-WST-ENT-Cbl-IB-FR,11054112037,
01110010,*,business_unknown,en-US,Bus_Main_SMB_Ent_WST,*,*,advantage-voice-support,*,transfer,BusTech-ROG-WST-T1-Voice-IB-EN,11051890159,
01110010,*,business_unknown,fr-CA,Bus_Main_SMB_Ent_WST,*,*,advantage-voice-support,*,transfer,BusTech-ROG-WST-T1-Sat-IB-FR,11051890160,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support-wireline,transfer,BusTech-ROG-SMB-T1-Wirln-IB-EN,11051899019,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,tech-support-wireline,transfer,BusTech-ROG-SMB-T1-Wirln-IB-FR,11051899080,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support-wireline,transfer,BusTech-ROG-SMB-T1-Wirln-IB-EN,11051899019,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,tech-support-wireline,transfer,BusTech-ROG-SMB-T1-Wirln-IB-FR,11051899080,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support-wireline,transfer,BusTech-ROG-SMB-T1-Wirln-IB-EN,11051899019,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,tech-support-wireline,transfer,BusTech-ROG-SMB-T1-Wirln-IB-FR,11051899080,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support-wireless,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,tech-support-wireless,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support-wireless,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,tech-support-wireless,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support-wireless,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,tech-support-wireless,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
00110101,*,*,en-US,Bus_Main_SMB,*,isWirelessOnly,*,tech-support-wholesale,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
00110101,*,*,fr-CA,Bus_Main_SMB,*,isWirelessOnly,*,tech-support-wholesale,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support-wholesale,transfer,BusTech-ROG-SMB-T1-Wirln-IB-EN,11051899019,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,tech-support-wholesale,transfer,BusTech-ROG-SMB-T1-Wirln-IB-FR,11051899080,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support-wholesale,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,tech-support-wholesale,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support-wholesale,transfer,BusTech-ROG-SMB-T1-Wirln-IB-EN,11051899019,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,tech-support-wholesale,transfer,BusTech-ROG-SMB-T1-Wirln-IB-FR,11051899080,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support-T2-O365,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,tech-support-T2-O365,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support-T2-O365,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,tech-support-T2-O365,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support-T2-O365,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,tech-support-T2-O365,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support-T2-IOT,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,tech-support-T2-IOT,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support-T2-IOT,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,tech-support-T2-IOT,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support-T2-IOT,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,tech-support-T2-IOT,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support-T2-DEVC,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,tech-support-T2-DEVC,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support-T2-DEVC,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,tech-support-T2-DEVC,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support-T2-DEVC,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,tech-support-T2-DEVC,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support-satellite,transfer,BusTech-ROG-WST-ENT-T1-Sat-IB-EN,11051890166,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,tech-support-satellite,transfer,BusTech-ROG-WST-ENT-T1-Sat-IB-FR,11051890165,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support-satellite,transfer,BusTech-ROG-WST-ENT-T1-Sat-IB-EN,11051890166,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,tech-support-satellite,transfer,BusTech-ROG-WST-ENT-T1-Sat-IB-FR,11051890165,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support-satellite,transfer,BusTech-ROG-WST-ENT-T1-Sat-IB-EN,11051890166,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,tech-support-satellite,transfer,BusTech-ROG-WST-ENT-T1-Sat-IB-FR,11051890165,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support-advantage-wifi,transfer,BusTech-ROG-WST-T1-AdvProd-IB-EN,11051890157,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support-advantage-wifi,transfer,BusTech-ROG-WST-T1-AdvProd-IB-EN,11051890157,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support-advantage-wifi,transfer,BusTech-ROG-WST-T1-AdvProd-IB-EN,11051890157,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support-advantage-voice,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,tech-support-advantage-voice,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_enterprise_wireless,en-US,Bus_Main_SMB,*,*,*,tech-support-advantage-voice,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
01110001,*,business_enterprise_wireless,fr-CA,Bus_Main_SMB,*,*,*,tech-support-advantage-voice,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
00110001,*,*,en-US,Bus_Main_SMB,*,*,*,tech-support-advantage-voice,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
00110001,*,*,fr-CA,Bus_Main_SMB,*,*,*,tech-support-advantage-voice,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
00110101,*,*,en-US,Bus_Main_SMB,*,isWirelessOnly,*,tech-support,transfer,BusTech-ROG-T1-Wir-IB-EN,11051899059,
00110101,*,*,fr-CA,Bus_Main_SMB,*,isWirelessOnly,*,tech-support,transfer,BusTech-ROG-T1-Wir-IB-FR,11051899104,
01110001,*,business_unknown,en-US,Bus_Main_SMB,*,*,*,tech-support,transfer,BusTech-ROG-SMB-T1-Wirln-IB-EN,11051899019,
01110001,*,business_unknown,fr-CA,Bus_Main_SMB,*,*,*,tech-support,transfer,BusTech-ROG-SMB-T1-Wirln-IB-FR,11051899080,
